,stmt_date,stmt_desc,stmt_exp
382,03/18/17,ARIZONA TREE TURF,15.15
383,04/11/17,RUSSELL S DUERKSEN TR CHINO,1000.00
384,04/11/17,USPS PO 0377700650,52.00
385,04/20/17,CITY SERVICES GLENDALE,103.98
386,05/01/17,USPS PO 0334790321,6.65
387,05/11/17,USPS PO 0334790321,10.05
388,06/26/17,CITY SERVICES GLENDALE,96.47
389,07/04/17,PRESCOTT MVD,79.73
390,07/11/17,RUSSELL S DUERKSEN OP,2000.00
391,07/19/17,MARVEL THUNDERBIRD,21.73
392,08/24/17,CITY SERVICES GLENDALE,84.16
393,10/07/17,CITY SERVICES GLENDALE,117.28
394,10/20/17,FICFOREMOST INSURANCE,221.00
395,11/02/17,RUSSELL S DUERKSEN TR,1000.00
396,11/13/17,MARVEL THUNDERBIRD,46.06
397,11/29/17,PAYPAL FACEBOOKPAY,200.00
398,12/07/17,BUDGET BROTHERS TERMIT,110.00
399,12/11/17,CITY SERVICES GLENDALE,108.33
400,01/11/17,CLUB WYNDHAM PLUS,166.44
401,02/01/17,CIBOLA VISTA RESORTSP,1574.21
402,02/09/17,CLUB WYNDHAM PLUS,166.44
403,03/09/17,CLUB WYNDHAM PLUS,166.44
404,04/13/17,CLUB WYNDHAM PLUS,166.44
405,04/19/17,WYNDHAM LFCI GUEST POI,39.00
406,05/11/17,CLUB WYNDHAM PLUS,166.44
407,06/09/17,CLUB WYNDHAM PLUS,166.44
408,06/26/17,WYNDHAM RESERVATION TR,454.84
409,07/10/17,CLUB WYNDHAM PLUS,166.44
410,08/10/17,CLUB WYNDHAM PLUS,166.44
411,09/09/17,CLUB WYNDHAM PLUS,166.44
412,10/06/17,WYNDHAM FAX- POA,89.00
413,10/11/17,CLUB WYNDHAM PLUS,166.44
414,11/09/17,CLUB WYNDHAM PLUS,225.23
415,12/09/17,CLUB WYNDHAM PLUS,225.23
416,01/02/17,LITTLE CEASARS,5.40
417,01/30/17,SUBWAY 03298429,6.00
418,02/11/17,SUBWAY 03236056 CHINO,3.86
419,02/15/17,MJSBBQ CHICKEN FISH.,24.72
420,02/20/17,SUBWAY 00026351,6.00
421,04/03/17,SUBWAY 00026351,6.00
422,04/24/17,SUBWAY 03298429,6.46
423,05/22/17,MINGS CAFE,22.10
424,07/01/17,PICKLES PLACE,11.78
425,07/17/17,LITTLE CAESARS 2060-00,5.99
426,08/07/17,CHINA TOWN EXPRESS 108 LA,6.75
427,08/28/17,SUBWAY 03298429,6.00
428,10/09/17,MACAYOS BELL,26.91
429,12/22/17,PHOENIX CAFE 18136697,6.89
430,01/02/17,EXXONMOBIL 97615371 YORBA,30.85
431,01/09/17,SAMSCLUB 4732,33.17
432,01/26/17,SAMSCLUB 4732 GAS,33.21
433,01/27/17,SAMS CLUB 6608,21.01
434,01/31/17,SAMS CLUB 4732,31.26
435,02/09/17,SAMS CLUB 6608,43.91
436,02/18/17,SAMSCLUB 4732,19.23
437,02/25/17,SAMSCLUB 4732 GAS,30.84
438,03/01/17,QT 430 05004304,50.04
439,03/04/17,SAMS CLUB 4732,14.57
440,03/09/17,CIRCLE K 09166,50.79
441,03/13/17,SAMSCLUB 4732,31.71
442,03/25/17,QT 421 05004213,40.45
443,04/01/17,SAMSCLUB 4732 GAS,31.60
444,04/03/17,QT 421 05004213,38.80
445,04/08/17,SAMSCLUB 4732,33.65
446,04/10/17,QT 421 05004213,20.56
447,04/18/17,FRYS 7063 PRESCOTT,53.07
448,04/22/17,SAMSCLUB 4732,29.42
449,04/24/17,EXXONMOBIL 97615371 YORBA,35.69
450,04/27/17,QT 421 05004213,37.79
451,04/29/17,SAMS CLUB 4732,33.14
452,05/05/17,FRYS FUEL 7077,29.38
453,05/13/17,SAMS CLUB 4732,25.22
454,05/19/17,SAMSCLUB 6608 GAS,38.20
455,05/22/17,CONOCO - TOWN PUMP 5 G GREAT,69.28
456,05/22/17,LOVES COUNTRY 00003350 CEDAR,74.55
457,05/23/17,SHELL OIL 57444637409,65.94
458,06/14/17,SAMS CLUB 4732,35.40
459,07/01/17,PHILLIPS 66 - VALLEY C,51.95
460,07/03/17,LOVES COUNTRY 00003400 LAS,75.05
461,07/03/17,LOVES COUNTRY 00005405 LAS,8.66
462,07/04/17,FRYS FUEL 7116,25.61
463,07/06/17,FRYS FUEL 7045,45.15
464,07/10/17,FRYS FUEL 7617,20.22
465,07/13/17,FRYS FUEL 7045,58.51
466,07/17/17,EXXONMOBIL 97615371 YORBA,38.81
467,07/19/17,FRYS FUEL 7045,61.73
468,08/01/17,FRYS FUEL 7077,46.60
469,08/04/17,FRYS FUEL 7127,25.82
470,08/05/17,SAMS CLUB 4732,12.41
471,08/07/17,IMPERIAL STATIONS INC LA,31.13
472,08/08/17,COSTCO GAS 0674,26.87
473,08/14/17,SAMSCLUB 6608,60.50
474,08/18/17,FRYS FUEL 7077,49.84
475,08/24/17,COSTCO GAS 0674,31.38
476,08/28/17,EXXONMOBIL 97615371 YORBA,45.21
477,08/30/17,SAMSCLUB 4732 GAS,16.61
478,08/31/17,FRYS FUEL 7028,49.85
479,09/12/17,CIRCLE K 09166,56.41
480,09/23/17,SAMS CLUB 4732,20.90
481,09/25/17,EXXONMOBIL 97615371 YORBA,33.27
482,09/26/17,SAMSCLUB 6608 GAS,30.46
483,10/10/17,SAMS CLUB 6608,72.63
484,10/21/17,SAMS CLUB 6608,54.68
485,10/25/17,QT 490 05004908,8.68
486,10/25/17,QT 490 05004908,9.05
487,10/28/17,FRYS 7063 PRESCOTT,36.77
488,11/07/17,FRYS FUEL 7617,46.81
489,11/13/17,COSTCO GAS 0674,28.64
490,11/13/17,QT 430 05004304,49.74
